09:30:14.284021 LS029 10 
09:42:36.640116 LS207 54 
09:42:36.693741 MA207 OFF 
09:42:36.902337 M016 OFF 
09:42:37.106268 M001 ON 
09:42:37.371408 M015 OFF 
09:42:37.836928 M002 ON 
09:42:37.952741 SS004 STILL 
09:42:38.522478 M008 OFF 
09:42:39.17627 M001 OFF 
09:42:39.837365 LS207 55 
09:42:39.928102 MA207 ON 
09:42:39.970913 MA201 OFF 
09:42:40.836658 M002 OFF 
09:42:42.67672 MA207 OFF 
09:42:56.560714 M002 ON 
09:42:57.672397 M002 OFF 
09:43:04.074123 M002 ON 
09:43:05.307644 MA207 ON 
09:43:06.258115 LS207 54 
09:43:06.272942 MA207 OFF 
09:43:08.762851 M002 OFF 
09:43:10.45802 M002 ON 
09:43:13.095103 M002 OFF 
09:43:13.906278 M002 ON 
09:43:13.973578 LS019 10 
09:43:14.92577 M002 OFF 
09:43:15.94075 LS021 6 
09:43:16.698854 M002 ON 
09:43:17.761354 M002 OFF 
09:43:19.259462 LS024 11 
09:43:25.260112 M002 ON 
09:43:26.382827 M002 OFF 
09:43:31.760115 LS207 55 
09:43:31.872335 MA207 ON 
09:43:32.899013 MA207 OFF 
09:43:41.383807 M002 ON 
09:43:45.724432 M001 ON 
09:43:46.095078 M008 ON 
09:43:46.169429 MA201 ON 
09:43:46.275953 M002 OFF 
09:43:47.421787 M001 OFF 
09:43:47.529776 MA207 ON 
09:43:48.086832 M008 OFF 
09:43:48.649127 MA207 OFF 
09:43:49.115837 MA201 OFF 
09:43:56.437523 LS013 11 
09:43:56.468946 M013 ON 3-start,3.1
09:43:58.300493 M013 OFF 
09:44:00.633107 MA207 ON 
09:44:01.767196 MA207 OFF 
09:44:02.219167 LS205 20 
09:44:07.526401 M013 ON 
09:44:08.066302 LS037 6 
09:44:09.74958 M013 OFF 
09:44:10.871486 LS010 20 
09:44:10.900556 M010 ON 
09:44:11.358232 MA207 ON 
09:44:11.922852 M010 OFF 
09:44:12.471969 MA207 OFF 
09:44:21.012376 M013 ON 
09:44:23.530323 MA207 ON 
09:44:24.579764 M013 OFF 
09:44:24.657552 MA207 OFF 
09:44:30.075722 MA207 ON 
09:44:31.204796 MA207 OFF 
09:44:32.518797 MA207 ON 
09:44:35.531424 MA207 OFF 
09:44:36.693595 MA207 ON 
09:44:37.827801 MA207 OFF 
09:44:39.285002 MA207 ON 
09:44:41.607539 LS207 54 
09:44:41.623568 MA207 OFF 
09:44:46.400907 MA207 ON 
09:44:48.289915 MA207 OFF 
09:44:50.910429 MA207 ON 
09:44:52.777374 MA207 OFF 
09:44:53.370955 M031 ON 
09:44:54.508712 M031 OFF 
09:45:02.690828 MA207 ON 
09:45:15.817815 LS207 55 
09:45:15.853707 MA207 OFF 
09:45:16.585993 MA207 ON 
09:45:17.718239 MA207 OFF 
09:45:35.315008 LS207 54 
09:45:35.36258 MA207 ON 
09:45:38.12778 LS207 55 
09:45:38.175749 MA207 OFF 
09:46:17.897264 MA207 ON 
09:46:20.510076 MA207 OFF 
09:46:24.261966 LS207 54 
09:46:24.27747 MA207 ON 
09:46:25.958465 MA207 OFF 
09:46:27.262478 LS207 55 
09:46:27.27905 MA207 ON 
09:46:28.390387 LS207 54 
09:46:28.406212 MA207 OFF 
09:46:30.168951 M013 ON 
09:46:31.314914 M013 OFF 
09:46:52.323486 LS006 8 
09:46:52.332891 BATV006 9060 
09:46:52.611121 LS022 4 
09:47:05.885861 MA207 ON 
09:47:07.001485 LS207 55 
09:47:07.016234 MA207 OFF 
09:47:13.57875 LS207 54 
09:47:13.592685 MA207 ON 
09:47:15.830049 LS207 55 
09:47:15.842697 MA207 OFF 
09:47:16.962774 MA207 ON 
09:47:18.071636 LS207 54 
09:47:18.095362 MA207 OFF 
09:47:20.349918 LS014 9 
09:47:21.482975 LS012 23 
09:47:23.429989 LS011 21 
09:47:24.449579 MA207 ON 
09:47:26.481086 LS207 55 
09:47:26.502652 MA207 OFF 
09:47:31.270599 LS025 2 
09:47:31.394401 MA207 ON 
09:47:33.070026 MA207 OFF 
09:47:34.741293 MA207 ON 
09:47:36.80083 LS207 54 
09:47:36.828688 MA207 OFF 
09:47:45.4521 MA207 ON 
09:47:49.744425 MA207 OFF 
09:47:50.50305 M013 ON 
09:47:51.457791 LS207 55 
09:47:51.468084 MA207 ON 
09:47:51.56864 M013 OFF 
09:47:52.563033 LS207 54 
09:47:52.576301 MA207 OFF 
09:47:53.327569 MA207 ON 
09:47:55.291789 MA207 OFF 
09:47:55.41016 M010 ON 
09:47:56.504658 M010 OFF 
09:47:57.628569 M010 ON 
09:47:57.929608 M013 ON 
09:47:58.06538 LS003 9 
09:47:58.550559 MA201 ON 
09:47:58.750558 M010 OFF 
09:47:59.056489 M013 OFF 
09:47:59.581973 M008 ON 3-end
09:48:00.587512 M001 ON 
09:48:01.287985 M002 ON 
09:48:01.65703 M001 OFF 
09:48:01.942745 M008 OFF 
09:48:02.699817 MA207 ON 
09:48:03.51239 MA201 OFF 
09:48:03.822432 MA207 OFF 
09:48:04.041309 M002 OFF 
09:48:13.593579 LS051 24 
09:48:15.796539 LS032 1 
09:48:16.033865 M002 ON 
09:48:17.186351 M002 OFF 
09:48:19.046139 M002 ON 
09:48:20.222879 M002 OFF 
09:48:24.298854 M002 ON 
09:48:25.429508 M002 OFF 
09:48:26.952838 M002 ON 
09:48:27.350326 LS026 15 
09:48:28.762702 M002 OFF 
09:48:33.647823 MA207 ON 
09:48:34.73907 MA207 OFF 
09:48:39.860084 M002 ON 
09:48:40.986324 M002 OFF 
09:48:42.097788 M002 ON 
09:48:43.788358 M002 OFF 
09:48:44.362821 M002 ON 
09:48:45.484347 M002 OFF 
09:48:51.597312 LS207 55 
09:48:51.61765 MA207 ON 
09:48:52.451947 LS204 20 
09:48:52.726142 LS207 54 
09:48:52.738991 MA207 OFF 
09:49:06.788401 LS046 2 
09:49:18.732493 M002 ON 
09:49:19.794665 M002 OFF 
09:49:22.422093 M002 ON 
09:49:23.543118 M002 OFF 
09:49:26.910358 M002 ON 
09:49:28.048627 M002 OFF 
09:49:29.69295 MA207 ON 
09:49:30.827241 MA207 OFF 
09:49:31.280124 M002 ON 
09:49:32.484156 MA207 ON 
09:49:33.630533 MA207 OFF 
09:49:36.863572 M002 OFF 
09:49:37.392662 M002 ON 
09:49:38.015865 MA201 ON 
09:49:39.134733 MA201 OFF 
09:49:39.877931 M002 OFF 
09:49:40.989835 M002 ON 
09:49:41.689828 MA207 ON 
09:49:42.190567 M002 OFF 
09:49:43.628938 M002 ON 
09:49:43.95297 MA207 OFF 
09:49:44.021507 MA201 ON 
09:49:46.034302 MA201 OFF 
09:49:46.693908 M002 OFF 
09:49:52.97444 M002 ON 
09:49:54.877781 M002 OFF 
09:49:59.545105 M002 ON 
09:50:02.930662 M002 OFF 
09:50:03.483241 M002 ON 
09:50:04.599788 M002 OFF 
09:50:08.380354 M002 ON 
09:50:10.170131 MA207 ON 
09:50:11.913359 M002 OFF 
09:50:12.060762 MA207 OFF 
09:50:13.970316 M002 ON 
09:50:15.091552 M002 OFF 
09:50:17.523164 MA207 ON 
09:50:17.553895 M002 ON 
09:50:19.069597 MA201 ON 
09:50:19.752074 MA207 OFF 
09:50:20.192146 MA201 OFF 
09:50:20.541433 M002 OFF 
