13:50:04.052365 T001 24.5 
13:51:39.001175 M019 OFF 
13:51:39.014287 M006 ON 
13:51:40.016499 M005 OFF 
13:51:40.019047 M006 OFF 
13:51:40.021585 M018 OFF 
13:51:41.064163 M012 OFF 
13:51:42.031277 M017 OFF 
13:51:42.087323 M008 ON 
13:51:43.048722 M009 ON 
13:51:44.013063 M013 OFF 
13:51:44.007703 M006 ON 
13:51:45.040137 M007 ON 
13:51:46.003267 M009 OFF 
13:51:46.088747 D007 CLOSE 
13:51:47.049356 M007 OFF 
13:51:48.011051 M017 ON 
13:51:48.075036 M015 ON 
13:51:49.082363 M008 OFF 
13:51:49.084918 M014 OFF 
13:51:49.087465 M009 ON 
13:51:50.066706 M015 OFF 
13:51:50.069284 M018 ON 
13:51:51.050967 M019 ON 
13:51:51.053525 M009 OFF 
13:51:52.054289 M003 ON 
13:51:53.040534 M008 ON 
13:51:53.000431 M006 OFF 
13:51:54.024209 M021 ON 
13:51:54.002673 M022 ON 
13:51:55.026592 M017 OFF 
13:51:55.029158 M009 ON 
13:51:55.031644 M018 OFF 
13:51:55.008818 M023 ON 
13:51:56.067871 M001 ON 
13:51:56.070444 M019 OFF 
13:51:57.028298 M021 OFF 
13:51:57.090759 M002 ON 
13:51:58.053957 M022 OFF 
13:51:59.039983 M023 OFF 
13:52:02.049557 M008 OFF 
13:52:03.052983 M008 ON 
13:52:04.016251 M007 ON 
13:52:04.079164 M023 ON 
13:52:06.067496 M022 ON 
13:52:08.060383 D012 OPEN 
13:52:08.062911 M007 OFF 
13:52:08.065471 M021 ON 
13:52:09.067004 M007 ON 
13:52:09.069578 M009 OFF 
13:52:09.072127 M003 OFF 
13:52:10.028955 M002 OFF 
13:52:10.086422 P001 2207 
13:52:10.009603 M024 ON 
13:52:11.053518 M022 OFF 
13:52:12.098589 D012 CLOSE 
13:52:14.006349 M008 OFF 
13:52:14.008919 M021 OFF 
13:52:14.011455 M022 ON 
13:52:14.069899 M007 OFF 
13:52:16.011413 M001 OFF 
13:52:16.013924 M021 ON 
13:52:16.016472 M024 OFF 
13:52:16.007037 M007 ON 
13:52:17.075137 M006 ON 
13:52:18.039933 M024 ON 
13:52:20.052685 M023 OFF 
13:52:20.005525 M022 OFF 
13:52:24.000665 M019 ON 
13:52:24.007025 M006 OFF 
13:52:25.009054 M025 ON 
13:52:25.093151 M018 ON 
13:52:27.099672 M001 ON 
13:52:28.002199 M006 ON 
13:52:28.006207 M023 ON 
13:52:29.025248 M022 ON 
13:52:30.006848 M001 OFF 
13:52:30.071044 M024 OFF 
13:52:30.073602 M018 OFF 
13:52:31.051809 M023 OFF 
13:52:31.054378 M024 ON 
13:52:32.056046 M006 OFF 
13:52:33.020076 M007 OFF 
13:52:33.084041 M022 OFF 
13:52:34.000453 D001 OPEN 
13:52:38.065644 M019 OFF 
13:52:38.068218 D001 CLOSE 
13:52:40.057331 M021 OFF 
13:52:42.083946 M024 OFF 
13:52:44.003105 M021 ON 
13:52:45.058279 M021 OFF 
13:52:45.060878 M024 ON 
13:52:46.019671 M024 OFF 
13:52:49.003698 M021 ON 
13:52:50.001216 M024 ON 
13:52:51.089676 M024 OFF 
13:52:52.054049 M021 OFF 
13:52:56.088205 P001 2197 
13:53:06.055276 M021 ON 
13:53:08.004198 M024 ON 
13:53:11.094317 M022 ON 
13:53:12.056235 M026 ON 
13:53:14.042995 M001 ON 
13:53:14.045507 M023 ON 
13:53:14.049691 M021 OFF 
13:53:15.005251 M025 OFF 
13:53:15.092787 M021 ON 
13:53:15.095284 M002 ON 
13:53:16.071369 M022 OFF 
13:53:16.073938 M003 ON 
13:53:17.034084 M023 OFF 
13:53:18.004402 M027 ON 
13:53:18.046583 M022 ON 
13:53:18.049067 M026 OFF 
13:53:19.028692 M001 OFF 
13:53:19.031228 M024 OFF 
13:53:19.009076 M028 ON 
13:53:21.000441 M043 ON 
13:53:21.002954 M021 OFF 
13:53:21.005498 M002 OFF 
13:53:21.083782 M023 ON 
13:53:21.086307 M042 ON 
13:53:23.077123 M028 OFF 
13:53:23.082185 M027 OFF 
13:53:23.084729 M022 OFF 
13:53:23.087266 M003 OFF 
13:53:24.057193 M043 OFF 
13:53:24.059755 M042 OFF 
13:53:25.038719 M023 OFF 
13:53:25.041277 M003 ON 
13:53:25.095227 M002 ON 
13:53:29.055013 M003 OFF 
13:53:32.091729 P001 2252 
13:53:38.091769 P001 2190 
13:53:39.003668 M023 ON 
13:53:44.008012 M023 OFF 
13:53:46.002633 M042 ON 
13:53:47.011283 M043 ON 
13:53:47.013795 M023 ON 
13:53:47.073145 M028 ON 
13:53:48.078152 M027 ON 
13:53:49.041873 M042 OFF 
13:53:50.026842 M001 ON 
13:53:50.029406 M043 OFF 
13:53:52.051578 M043 ON 
13:53:52.054152 M042 ON 
13:53:52.056642 M003 ON 
13:53:54.018773 M027 OFF 
13:53:55.018566 M028 OFF 
13:53:55.021133 M043 OFF 
13:53:55.023621 M023 OFF 
13:53:56.026607 M001 OFF 
13:53:56.029171 M005 ON 
13:53:56.031727 M042 OFF 
13:53:57.007311 M003 OFF 
13:53:59.021093 M002 OFF 
13:54:00.069952 M005 OFF 
13:54:01.056918 M002 ON 
13:54:01.059484 M003 ON 
13:54:10.092192 M003 OFF 
13:54:13.023646 M001 ON 
13:54:13.087303 M042 ON 
13:54:15.017382 M028 ON 
13:54:15.001997 M029 ON 
13:54:15.029324 M043 ON 
13:54:15.031872 M023 ON 
13:54:16.002462 M027 ON 
13:54:16.027255 M022 ON 
13:54:17.024818 M029 OFF 
13:54:17.027345 M042 OFF 
13:54:17.029896 M021 ON 
13:54:17.087139 M043 OFF 
13:54:18.095412 M001 OFF 
13:54:18.097922 M024 ON 
13:54:19.000474 M002 OFF 
13:54:20.048361 M028 OFF 
13:54:20.005088 M023 OFF 
13:54:20.053423 M027 OFF 
13:54:20.055986 M025 ON 
13:54:20.005855 M026 ON 
13:54:21.012312 M022 OFF 
13:54:22.060873 M021 OFF 
13:54:22.095202 P001 2208 
13:54:25.078324 M026 OFF 
13:54:27.019487 M024 OFF 
13:54:29.053041 M025 OFF 
13:54:31.043128 M024 ON 
13:54:32.046228 M025 ON 
13:54:33.092102 M024 OFF 
13:54:35.078061 M024 ON 
13:54:36.095497 P001 2277 
13:54:37.018691 M025 OFF 
13:54:40.078188 M025 ON 
13:54:42.066713 M021 ON 
13:54:43.072723 M022 ON 
13:54:44.034196 M026 ON 
13:54:45.039053 M023 ON 
13:54:46.023165 M001 ON 
13:54:46.025697 M021 OFF 
13:54:46.086347 M022 OFF 
13:54:49.016052 M026 OFF 
13:54:49.080113 M027 ON 
13:54:50.086904 M001 OFF 
13:54:51.051591 M028 ON 
13:54:52.078479 M043 ON 
13:54:52.081045 M042 ON 
13:54:53.062733 M023 OFF 
13:54:53.006531 M025 OFF 
13:54:55.001576 M028 OFF 
13:54:55.020866 M043 OFF 
13:54:55.023374 M027 OFF 
13:54:55.025928 M021 ON 
13:54:55.076364 M042 OFF 
13:54:57.063136 M024 OFF 
13:54:58.026914 M023 ON 
13:55:01.000103 M021 OFF 
13:55:01.081344 M021 ON 
13:55:01.008394 M022 ON 
13:55:02.086641 M023 OFF 
13:55:11.002482 M022 OFF 
13:55:11.027389 M024 ON 
13:55:11.029947 M025 ON 
13:55:11.032461 M026 ON 
13:55:12.004575 M021 OFF 
13:55:12.007087 M024 OFF 
13:55:13.008934 M026 OFF 
13:55:14.013697 M027 ON 
13:55:16.017502 M028 ON 
13:55:16.020069 M025 OFF 
13:55:17.004638 M043 ON 
13:55:18.004725 M042 ON 
13:55:19.076714 M028 OFF 
13:55:19.079283 M027 OFF 
13:55:21.035935 M043 OFF 
13:55:21.038492 M042 OFF 
13:55:27.000015 M025 ON 
13:55:33.006006 M025 OFF 
13:55:40.002213 M025 ON 
13:55:41.007373 M025 OFF 
13:55:41.067652 M025 ON 
13:55:55.084242 M025 OFF 
13:55:57.052198 M025 ON 
13:55:58.016058 M042 ON 
13:55:58.080109 M043 ON 
13:55:59.044052 M028 ON 
13:56:00.089946 M027 ON 
13:56:01.054096 M042 OFF 
13:56:02.013288 M043 OFF 
13:56:04.021292 M028 OFF 
13:56:04.023853 M027 OFF 
13:56:04.083902 M026 ON 
13:56:07.055059 M025 OFF 
13:56:08.019095 M025 ON 
13:56:09.065647 M024 ON 
13:56:10.053549 M021 ON 
13:56:10.056115 M026 OFF 
13:56:11.061192 M022 ON 
13:56:13.070184 M001 ON 
13:56:13.072705 M023 ON 
13:56:14.031777 M022 OFF 
13:56:14.095285 M025 OFF 
13:56:16.041197 M022 ON 
13:56:17.002407 M001 OFF 
13:56:18.011895 M023 OFF 
13:56:18.014447 M021 OFF 
13:56:18.023363 M024 OFF 
13:56:18.075143 M023 ON 
13:56:19.039905 M001 ON 
13:56:20.026721 M008 ON 
13:56:20.029239 M007 ON 
13:56:20.089323 M009 ON 
13:56:21.091285 M014 ON 
13:56:22.054319 M007 OFF 
13:56:23.062321 M023 OFF 
13:56:23.064908 M009 OFF 
13:56:23.067455 M013 ON 
13:56:24.068821 M008 OFF 
13:56:24.071393 M023 ON 
13:56:25.053823 M022 OFF 
13:56:26.013989 M014 OFF 
13:56:27.020817 M010 ON 
13:56:28.007872 M008 ON 
13:56:28.081291 M043 ON 
13:56:28.083845 M023 OFF 
13:56:28.086342 M042 ON 
13:56:28.088892 M007 ON 
13:56:29.080222 M028 ON 
13:56:29.082794 M027 ON 
13:56:29.085277 M013 OFF 
13:56:30.086137 M007 OFF 
13:56:30.088647 M009 ON 
13:56:32.011302 M014 ON 
13:56:32.013849 M001 OFF 
13:56:32.016351 M043 OFF 
13:56:32.018922 M042 OFF 
13:56:33.037971 M008 OFF 
13:56:33.040503 M009 OFF 
13:56:33.043085 M013 ON 
13:56:33.045641 M026 ON 
13:56:34.069774 M028 OFF 
13:56:34.072341 M027 OFF 
13:56:34.074834 M025 ON 
13:56:34.077384 M010 OFF 
13:56:35.027311 M024 ON 
13:56:36.011269 M021 ON 
13:56:36.013837 M026 OFF 
13:56:36.073982 M014 OFF 
13:56:37.037102 M022 ON 
13:56:38.001022 M025 OFF 
13:56:38.065077 M013 OFF 
13:56:39.090622 M001 ON 
13:56:39.093162 M023 ON 
13:56:39.095718 M021 OFF 
13:56:39.098239 M024 OFF 
13:56:40.096199 M008 ON 
13:56:40.098717 M007 ON 
13:56:41.001263 M022 OFF 
13:56:41.059105 M023 OFF 
13:56:42.043179 M007 OFF 
13:56:42.045753 M009 ON 
13:56:43.002771 M001 OFF 
13:56:43.030284 M009 OFF 
13:56:43.090164 M008 OFF 
13:56:45.034732 M013 ON 
13:56:45.098068 M008 ON 
13:56:47.004613 M010 ON 
13:56:48.008943 M008 OFF 
13:56:50.041828 M010 OFF 
13:56:53.054241 M014 ON 
13:56:54.098723 M008 ON 
13:56:55.063053 M015 ON 
13:56:56.026933 M013 OFF 
13:56:57.095779 M008 OFF 
13:56:57.098323 M009 ON 
13:56:58.079743 M008 ON 
13:56:58.082311 M013 ON 
13:56:59.041318 M010 ON 
13:57:00.001319 M015 OFF 
13:57:00.084797 M008 OFF 
13:57:01.069199 M014 OFF 
13:57:01.071782 M010 OFF 
13:57:03.014992 M009 OFF 
13:57:03.077224 M009 ON 
13:57:05.023609 M006 ON 
13:57:05.086979 M008 ON 
13:57:07.007328 P001 1334 
13:57:07.039771 M013 OFF 
13:57:08.003218 M007 ON 
13:57:08.066974 M001 ON 
13:57:09.029294 M023 ON 
13:57:09.091736 M011 ON 
13:57:10.009936 M007 OFF 
13:57:11.001952 M009 OFF 
13:57:11.004578 M013 ON 
13:57:11.084719 M008 OFF 
13:57:11.087285 M006 OFF 
13:57:12.048055 M010 ON 
13:57:13.010023 M013 OFF 
13:57:13.072228 M006 ON 
13:57:14.099353 M008 ON 
13:57:15.001859 M007 ON 
13:57:15.061981 M010 OFF 
13:57:16.002596 M023 OFF 
13:57:16.086738 M013 ON 
13:57:18.033501 M023 ON 
13:57:18.009695 M022 ON 
13:57:19.079135 M007 OFF 
13:57:19.081673 M021 ON 
13:57:20.063502 M023 OFF 
13:57:20.066072 M013 OFF 
13:57:21.070605 M011 OFF 
13:57:21.073157 M024 ON 
13:57:21.075738 M025 ON 
13:57:23.000284 M008 OFF 
13:57:23.002891 M001 OFF 
13:57:23.005535 M007 ON 
13:57:23.008017 M022 OFF 
13:57:23.094649 M008 ON 
13:57:23.097178 M021 OFF 
13:57:23.099731 M026 ON 
13:57:25.010239 P001 1229 
13:57:25.022417 M014 ON 
13:57:25.002499 M009 ON 
13:57:25.027466 M024 OFF 
13:57:25.003002 M010 ON 
13:57:26.004772 M013 ON 
13:57:26.007346 M025 OFF 
13:57:26.087698 M009 OFF 
13:57:26.090268 M026 OFF 
13:57:27.009568 M008 OFF 
13:57:27.098201 M007 OFF 
13:57:28.000738 M010 OFF 
13:57:28.073371 M027 ON 
13:57:28.078035 M006 OFF 
13:57:29.034089 M028 ON 
13:57:29.098126 M010 ON 
13:57:30.060092 M043 ON 
13:57:31.046704 M014 OFF 
13:57:31.049223 M042 ON 
13:57:32.032642 M009 ON 
13:57:32.035208 M010 OFF 
13:57:33.058524 M028 OFF 
13:57:33.063609 M027 OFF 
13:57:33.066119 M009 OFF 
13:57:34.039378 M043 OFF 
13:57:34.041896 M042 OFF 
13:57:35.003142 M010 ON 
13:57:38.007531 M013 OFF 
13:57:39.037113 M010 OFF 
13:57:40.082746 M010 ON 
13:57:42.026788 M013 ON 
13:57:45.038953 M010 OFF 
13:57:46.026876 M013 OFF 
13:57:46.087034 M010 ON 
13:57:49.035656 M010 OFF 
13:57:52.089365 M010 ON 
13:57:54.033997 M010 OFF 
13:58:01.001282 P001 1242 
13:58:04.015057 M010 ON 
13:58:06.004407 M010 OFF 
13:58:07.014978 P001 1230 
13:58:12.007613 M010 ON 
13:58:15.065997 M010 OFF 
13:58:18.040116 M010 ON 
13:58:21.003128 M010 OFF 
13:58:33.008219 M042 ON 
13:58:35.028114 M029 ON 
13:58:35.090767 M037 ON 
13:58:37.039711 M042 OFF 
13:58:37.042232 M038 ON 
13:58:38.004679 M029 OFF 
13:58:39.006417 D005 CLOSE 
13:58:39.069336 M038 OFF 
13:58:41.095655 M038 ON 
13:58:42.038326 L011 OFF 
13:58:42.065684 L011 ON 
13:58:42.074838 L009 OFF 
13:58:43.023392 L009 ON 
13:58:43.027993 L005 ON 
13:58:44.075157 M039 ON 
13:58:46.017519 P001 1440 
13:58:46.026497 M040 ON 
13:58:46.085643 M041 ON 
13:58:48.072957 M038 OFF 
13:58:49.008008 M037 OFF 
13:58:50.045158 M038 ON 
13:58:51.093919 M037 ON 
13:58:53.021346 M041 OFF 
13:58:53.023932 M039 OFF 
13:58:53.083684 M040 OFF 
13:58:55.070632 M039 ON 
13:58:56.076739 M040 ON 
13:58:57.036059 M041 ON 
13:58:57.099971 M037 OFF 
13:58:59.048515 M038 OFF 
13:59:00.012023 D006 CLOSE 
13:59:00.007726 M039 OFF 
13:59:02.062302 M040 OFF 
13:59:03.018274 P001 1475 
13:59:14.005604 M013 ON 
13:59:18.085885 M041 OFF 
13:59:19.008677 M013 OFF 
13:59:41.039768 M041 ON 
13:59:42.046158 M041 OFF 
13:59:43.029763 M041 ON 
13:59:43.032278 M010 ON 
13:59:45.016618 M010 OFF 
13:59:46.002105 M010 ON 
13:59:47.026916 M041 OFF 
13:59:48.092238 M041 ON 
13:59:48.094816 M010 OFF 
13:59:54.050601 M041 OFF 
14:00:02.065841 M041 ON 
14:00:07.006821 M041 OFF 
14:00:15.070906 T002 30 
14:00:15.007372 T005 23.5 
14:00:16.009693 M041 ON 
14:00:25.046123 M041 OFF 
14:00:35.002969 M041 ON 
14:00:36.003237 M010 ON 
14:00:37.037767 M041 OFF 
14:00:38.084177 M010 OFF 
14:00:43.025117 P001 2432 
14:00:48.019049 M041 ON 
14:01:01.078168 D006 OPEN 
14:01:03.025246 M040 ON 
14:01:04.071263 M039 ON 
14:01:05.055761 M013 ON 
14:01:05.058345 M038 ON 
14:01:06.058826 M013 OFF 
14:01:07.028024 P001 2386 
14:01:07.082979 M041 OFF 
14:01:07.085597 M039 OFF 
14:01:08.066641 M010 ON 
14:01:08.006917 M040 OFF 
14:01:12.025021 M010 OFF 
14:01:13.090871 M038 OFF 
14:01:13.009349 M010 ON 
14:01:16.017689 M010 OFF 
14:01:18.046574 M010 ON 
14:01:19.010048 M013 ON 
14:01:20.056082 M010 OFF 
14:01:21.002005 M010 ON 
14:01:21.029315 P001 2352 
14:01:23.011034 M013 OFF 
14:01:25.000719 M010 OFF 
14:01:28.098046 M038 ON 
14:01:34.019606 M013 ON 
14:01:36.008114 M013 OFF 
14:01:36.069214 M037 ON 
14:01:38.039793 M013 ON 
14:01:38.004237 D005 OPEN 
14:01:39.083998 M013 OFF 
14:01:40.071521 M029 ON 
14:01:40.074109 M038 OFF 
14:01:42.019126 M042 ON 
14:01:45.019161 M029 OFF 
14:01:45.002167 M037 OFF 
14:01:45.025326 M042 OFF 
14:01:47.030147 P001 2180 
14:01:56.085938 M013 ON 
14:01:58.007601 M013 OFF 
14:02:27.019054 M042 ON 
14:02:28.086684 M029 ON 
14:02:29.032501 P001 2168 
14:02:29.055713 M037 ON 
14:02:31.004322 M042 OFF 
14:02:31.063609 M038 ON 
14:02:32.026948 M029 OFF 
14:02:33.031111 M038 OFF 
14:02:35.018151 M037 OFF 
14:02:41.064073 M038 ON 
14:02:43.034049 P001 2345 
14:02:50.061077 M037 ON 
14:02:52.050061 M029 ON 
14:02:53.098007 M028 ON 
14:02:54.060137 M038 OFF 
14:02:55.036262 P001 2163 
14:02:55.086169 M037 OFF 
14:02:55.008875 M027 ON 
14:02:57.076067 M029 OFF 
14:02:58.083054 M028 OFF 
14:03:06.050975 M028 ON 
14:03:07.005811 M029 ON 
14:03:08.021116 M043 ON 
14:03:08.085055 M042 ON 
14:03:10.034354 M028 OFF 
14:03:12.020215 M029 OFF 
14:03:12.022786 M043 OFF 
14:03:12.025286 M027 OFF 
14:03:12.027837 M042 OFF 
14:03:18.065032 M042 ON 
14:03:20.013176 M042 OFF 
14:03:22.046501 D001 OPEN 
14:03:22.049056 M024 ON 
14:03:24.054151 M025 ON 
14:03:25.084937 D001 CLOSE 
14:03:28.060023 M024 OFF 
14:03:29.067618 M021 ON 
14:03:29.070143 M022 ON 
14:03:29.007271 M025 OFF 
14:03:30.006971 M021 OFF 
14:03:31.034087 M023 ON 
14:03:31.098092 M022 OFF 
14:03:32.060083 M013 ON 
14:03:35.026301 M023 OFF 
14:03:35.000898 M013 OFF 
14:03:36.095124 M013 ON 
14:03:38.083946 M013 OFF 
14:03:41.003511 M010 ON 
14:03:42.079873 M043 ON 
14:03:42.082436 M042 ON 
14:03:43.040989 M028 ON 
14:03:44.003243 M013 ON 
14:03:44.067296 M042 OFF 
14:03:45.029116 M027 ON 
14:03:45.093087 M013 OFF 
14:03:46.005606 M043 OFF 
14:03:47.059042 M011 ON 
14:03:48.022995 M028 OFF 
14:03:48.086956 M027 OFF 
14:03:49.085463 M011 OFF 
14:03:50.087637 M026 ON 
14:03:51.049524 M009 ON 
14:03:53.040788 M025 ON 
14:03:53.048875 P001 2134 
14:03:53.052951 P001 2165 
14:03:54.020116 M009 OFF 
14:03:54.002275 M010 OFF 
14:03:55.019975 M009 ON 
14:03:55.022477 M024 ON 
14:03:55.025036 M026 OFF 
14:03:55.080077 M021 ON 
14:03:56.044086 M019 ON 
14:03:57.029747 M009 OFF 
14:03:57.032265 M025 OFF 
14:03:57.090768 M013 ON 
14:03:59.000671 M021 OFF 
14:03:59.003177 M024 OFF 
14:03:59.005732 M018 ON 
14:03:59.043524 P001 2293 
14:03:59.065782 M017 ON 
14:04:00.027091 M009 ON 
14:04:01.075087 M013 OFF 
14:04:02.059197 M009 OFF 
14:04:02.061768 M021 ON 
14:04:03.061523 M017 OFF 
14:04:03.064033 M022 ON 
14:04:03.066595 M018 OFF 
14:04:05.004641 M019 OFF 
14:04:06.053035 M001 ON 
14:04:06.055546 M023 ON 
14:04:06.058099 M021 OFF 
14:04:07.036792 M007 ON 
14:04:07.039317 M022 OFF 
14:04:09.066664 M023 OFF 
14:04:11.055775 M008 ON 
14:04:13.042044 M007 OFF 
14:04:15.028304 M001 OFF 
14:04:16.078154 M001 ON 
14:04:17.040794 M007 ON 
14:04:18.005784 M023 ON 
14:04:19.001136 M007 OFF 
14:04:19.044327 P001 2281 
14:04:19.007677 M022 ON 
14:04:20.039346 M008 OFF 
14:04:21.002129 M023 OFF 
14:04:21.023859 M021 ON 
14:04:22.025136 M001 OFF 
14:04:22.089229 M024 ON 
14:04:23.093142 M022 OFF 
14:04:25.033194 M021 OFF 
14:04:25.044212 P001 2292 
14:04:26.058781 M021 ON 
14:04:26.061293 M024 OFF 
14:04:30.075672 M019 ON 
14:04:30.078249 M023 ON 
14:04:33.004031 M019 OFF 
14:04:34.005014 M001 ON 
14:04:35.050585 M021 OFF 
14:04:39.046029 P001 2280 
14:04:39.054296 M001 OFF 
14:04:40.001417 M023 OFF 
14:04:40.074657 M001 ON 
14:04:41.038923 M023 ON 
14:04:42.024943 M021 ON 
14:04:42.027537 M022 ON 
14:04:43.047907 M001 OFF 
14:04:43.050433 M023 OFF 
14:04:44.051679 M019 ON 
14:04:44.054197 M013 ON 
14:04:44.005675 M024 ON 
14:04:45.032408 M025 ON 
14:04:45.034992 M026 ON 
14:04:45.096133 M022 OFF 
14:04:46.079736 M019 OFF 
14:04:46.082305 M013 OFF 
14:04:48.032692 M027 ON 
14:04:48.035259 M022 ON 
14:04:48.003781 M024 OFF 
14:04:48.004031 M025 OFF 
14:04:48.042862 M026 OFF 
14:04:48.093007 M028 ON 
14:04:50.033033 M043 ON 
14:04:50.000356 M042 ON 
14:04:50.038152 M021 OFF 
14:04:51.021306 M043 OFF 
14:04:52.022183 M028 OFF 
14:04:52.024701 M027 OFF 
14:04:52.027258 M021 ON 
14:04:52.083747 M042 OFF 
14:04:53.047251 M019 ON 
14:04:55.073067 M022 OFF 
14:04:57.009038 M024 ON 
14:04:58.045512 M019 OFF 
14:04:58.048103 M013 ON 
14:04:58.057394 M025 ON 
14:04:59.011255 M021 OFF 
14:05:01.040643 M013 OFF 
14:05:03.069138 M025 OFF 
14:05:04.071644 M024 OFF 
14:05:06.021192 M024 ON 
14:05:08.050023 M021 ON 
14:05:11.061674 M022 ON 
14:05:12.024813 M024 OFF 
14:05:13.029737 M023 ON 
14:05:13.093198 M001 ON 
14:05:14.059323 M021 OFF 
14:05:15.022624 M002 ON 
14:05:16.035242 M023 OFF 
14:05:16.037985 M022 OFF 
14:05:16.040669 M003 ON 
14:05:21.099256 T002 29.5 
14:05:22.096525 M001 OFF 
14:05:22.099072 M002 OFF 
14:05:23.001592 M003 OFF 
14:05:23.004139 M010 ON 
14:05:23.099118 M010 OFF 
14:06:09.048329 P001 2268 
14:06:17.078043 M005 ON 
14:06:20.000097 M005 OFF 
14:06:25.070919 M013 ON 
14:06:26.003384 M005 ON 
14:06:28.062069 M005 OFF 
14:06:30.010055 M010 ON 
14:06:35.052454 P001 2255 
14:06:36.076174 M013 OFF 
14:06:37.036413 M010 OFF 
14:06:38.084111 M005 ON 
14:06:40.070763 M005 OFF 
14:06:45.049271 M005 ON 
14:06:48.000201 M006 ON 
14:06:50.031735 M005 OFF 
14:06:50.034259 M007 ON 
14:06:51.037116 M008 ON 
14:06:51.098634 M009 ON 
14:06:53.043735 M014 ON 
14:06:53.054363 P001 6758 
14:06:54.028346 M006 OFF 
14:06:54.031011 M009 OFF 
14:06:55.011951 M008 OFF 
14:06:55.014452 M007 OFF 
14:06:55.074096 M013 ON 
14:06:56.096389 M014 OFF 
14:06:56.098919 M012 ON 
14:06:58.021963 M012 OFF 
14:06:58.024484 M013 OFF 
14:06:59.054916 P001 6729 
14:07:11.005424 P001 6716 
14:07:17.005611 P001 6813 
14:07:18.093774 M012 ON 
14:07:18.096309 M013 ON 
14:07:20.041055 M014 ON 
14:07:21.089076 M012 OFF 
14:07:22.068906 M008 ON 
14:07:22.071478 M009 ON 
14:07:23.054851 M007 ON 
14:07:23.057373 M013 OFF 
14:07:24.039517 M014 OFF 
14:07:24.042104 M002 ON 
14:07:25.002759 M003 ON 
14:07:25.067121 M009 OFF 
14:07:27.007828 M008 OFF 
